client_id,batch_size,epoch,training_time,memory_usage
0,4,14,394.14672231674194,1101.73828125
10,4,1,533.0641393661499,1057.84375
1,4,14,527.4302341938019,1101.73828125
11,4,1,573.4346737861633,1058.66015625
11,4,14,571.3296296596527,1101.73828125
8,4,1,503.38823437690735,1058.66796875
3,4,2,27.571734189987183,1089.29296875
9,4,15,497.95370221138,1101.73828125
11,4,2,577.143230676651,1089.29296875
7,4,15,606.8199455738068,1101.73828125
0,4,2,529.5444540977478,1089.29296875
3,4,3,27.739068508148193,1090.32421875
11,4,15,580.2104985713959,1101.73828125
6,4,3,454.61138129234314,1090.32421875
11,4,16,579.5087099075317,1101.99609375
1,4,3,525.146824836731,1090.32421875
3,4,4,27.369524240493774,1092.64453125
0,4,16,531.4754779338837,1101.99609375
3,4,16,27.80508327484131,1101.99609375
11,4,4,579.7709519863129,1092.64453125
0,4,17,526.9145359992981,1101.99609375
3,4,17,27.474857330322266,1101.99609375
0,4,4,521.5832569599152,1092.64453125
1,4,17,537.4783985614777,1101.99609375
8,4,5,503.3094518184662,1092.64453125
2,4,18,857.6012887954712,1103.28515625
11,4,5,578.577968120575,1092.64453125
5,4,5,532.113929271698,1092.64453125
7,4,18,612.4389967918396,1103.28515625
0,4,18,526.5423769950867,1103.28515625
0,4,6,527.5403234958649,1092.64453125
4,4,6,59.68637681007385,1092.64453125
11,4,6,201.53231573104858,1092.64453125
6,4,7,98.2737329006195,1092.64453125
3,4,7,6.0069568157196045,1092.64453125
2,4,7,184.91125631332397,1092.64453125
1,4,8,114.42105007171631,1092.65234375
3,4,8,6.024547576904297,1092.65234375
7,4,8,130.92038774490356,1092.65234375
0,4,9,113.01454710960388,1092.65234375
10,4,9,115.0449287891388,1092.65234375
11,4,9,124.83792209625244,1092.65234375
11,4,10,124.73740863800049,1093.16796875
4,4,10,12.070253372192383,1093.16796875
7,4,10,130.7711901664734,1093.16796875
6,4,11,100.50368547439575,1094.19921875
3,4,11,5.895810127258301,1094.19921875
10,4,11,118.56871461868286,1094.19921875
11,4,12,125.28581357002258,1097.29296875
10,4,12,117.40777111053467,1097.29296875
2,4,12,185.54539346694946,1097.29296875
1,4,13,114.00070381164551,1097.29296875
4,4,13,12.277819871902466,1097.29296875
3,4,13,5.95219087600708,1097.29296875
0,4,14,113.83704113960266,1097.29296875
1,4,14,115.00354504585266,1097.29296875
11,4,14,125.37039113044739,1097.29296875
9,4,15,108.52234029769897,1097.29296875
7,4,15,131.36325430870056,1097.29296875
11,4,15,125.57481813430786,1097.29296875
11,4,16,125.80207538604736,1097.29296875
0,4,16,114.65717649459839,1097.29296875
3,4,16,5.949156045913696,1097.29296875
0,4,17,113.73487567901611,1097.29296875
3,4,17,5.946808338165283,1097.29296875
1,4,17,114.2584400177002,1097.29296875
2,4,18,185.24578523635864,1097.29296875
7,4,18,131.04948210716248,1097.29296875
0,4,18,114.01486539840698,1097.29296875
10,4,19,116.83789873123169,1097.29296875
3,4,19,5.962194204330444,1097.29296875
9,4,19,107.15819263458252,1097.29296875
0,4,20,113.87781071662903,1097.29296875
1,4,20,114.08285236358643,1097.29296875
7,4,20,133.40710067749023,1097.29296875
10,4,21,116.91569566726685,1097.29296875
1,4,21,114.51369714736938,1097.29296875
2,4,21,184.54973673820496,1097.29296875
6,4,22,97.79667854309082,1097.296875
9,4,22,107.42117929458618,1097.296875
5,4,22,114.45086002349854,1097.296875
9,4,23,106.6515097618103,1097.296875
0,4,23,113.43031883239746,1097.296875
1,4,23,114.89570474624634,1097.296875
10,4,24,115.41700458526611,1097.296875
7,4,24,131.46603202819824,1097.296875
0,4,24,113.5867829322815,1097.296875
4,4,25,12.229775428771973,1097.296875
5,4,25,115.19248557090759,1097.296875
9,4,25,107.11819100379944,1097.296875
1,4,26,114.01232028007507,1097.296875
2,4,26,187.51328110694885,1097.296875
10,4,26,116.68418955802917,1097.296875
5,4,27,115.91301107406616,1097.296875
11,4,27,124.30492448806763,1097.296875
2,4,27,186.19819855690002,1097.296875
2,4,28,185.6156289577484,1097.296875
4,4,28,12.161611795425415,1097.296875
11,4,28,124.46982479095459,1097.296875
6,4,29,98.31163120269775,1097.296875
5,4,29,115.11047172546387,1097.296875
9,4,29,107.68384790420532,1097.296875
8,4,30,108.83064675331116,1097.296875
10,4,30,116.39848852157593,1097.296875
9,4,30,108.03368020057678,1097.296875
0,4,31,113.69560170173645,1097.296875
8,4,31,108.54368138313293,1097.296875
10,4,31,117.53346562385559,1097.296875
